,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
176,0.0329515053966835,0.0010858017079076,0.0329515054444214,0.1750793,0.1750793,-0.1384583
177,0.0196231715360111,0.0003850688611317,0.0196232030798973,0.1739197,0.1739197,-0.1526794
178,0.0291449623486656,0.0008494288303051,0.0291449702732457,0.1648865,0.1648865,-0.149292
179,0.0163015778918021,0.0002657414417624,0.0163021291467685,0.1954651,0.2733459,-0.2733459
180,0.0433752450078286,0.0018814118794891,0.0433752477423788,0.3361206,0.3361206,-0.2906494
181,0.004612530244469,2.127543525614185e-05,0.0046147904299679,0.0385437,0.0385437,-0.02694702
182,0.0261488138762657,0.0006837604671355,0.026148820631876,0.2442932,0.2442932,-0.2332153
183,0.021602640662838,0.0004666740836077,0.0216026445373414,0.1439514,0.1792603,-0.1792603
184,0.0440892575140534,0.0019438626281405,0.0440892704788282,0.2633362,0.2992859,-0.2992859
185,0.0367300869244018,0.0013490992854741,0.036730110990154,0.2854004,0.2854004,-0.2658691
186,0.573644538976635,0.3290680570977161,0.5736448286192469,0.9999695,1.0,-1.0
187,0.0175345259363478,0.0003074595998124,0.0175346242174245,0.1260376,0.1358337,-0.1358337
188,0.0815775100336254,0.0066548901432862,0.0815776107702356,0.8347473,0.8347473,-0.6690369
189,0.112319130141891,0.012615586995831,0.1123191351825889,0.7604675,1.0,-1.0
190,0.057732019852961,0.0033329861163026,0.0577320205220791,0.3702393,0.4005127,-0.4005127
191,0.0336684661850747,0.0011335656152555,0.0336684670314923,0.296814,0.296814,-0.1946411
192,0.0247536542577188,0.0006127433991106,0.0247541278234347,0.187439,0.187439,-0.1440125
193,0.0363279540355195,0.0013197202444068,0.0363279543321833,0.1634216,0.1928711,-0.1928711
194,0.1266082578322755,0.0160296509513239,0.1266082595752115,0.9999695,1.0,-1.0
195,0.0403314794094064,0.0016266282313513,0.040331481605814,0.2076416,0.3578186,-0.3578186
196,0.0533123689886144,0.0028422086871781,0.0533123815618929,0.3963928,0.4086304,-0.4086304
197,0.0218169591148857,0.0004759797050205,0.0218169719207733,0.1532898,0.1532898,-0.116272
198,0.0085201619541385,7.259315972474978e-05,0.0085202106341421,0.06774902,0.06774902,-0.06100464
199,0.0221964272116584,0.0004926813809624,0.0221964346464033,0.1039429,0.1039429,-0.09277344
200,0.0382246710030603,0.0014611254732922,0.0382246727514812,0.3713684,0.3735657,-0.3735657
201,0.0380359647173858,0.0014467346119822,0.0380360211514035,0.1805115,0.2715454,-0.2715454
202,0.0086631381087531,7.504996189133094e-05,0.0086632073363724,0.04873657,0.0630188,-0.0630188
203,0.086845798524526,0.0075421927213625,0.0868458030110292,0.5412598,0.5412598,-0.5105896
